NO.,NAMA VIHARA,MANDARIN,GPS,,,ALAMAT,ref_code
24,CETIYA SAM KON MIAU,三官廟(鹽町肚),N 00º,51' 18,"80""",Jl. Kaliasin Dalam Gg. Durian,
,KALIASIN DALAM,San Guan Miao (Yan Ting Du),E 108º,57' 16,"29""",RT 26/05 Kelurahan Sedau,
25,VIHARA THIAN LIN FAB KIUNG,天靈法宮(鹽町肚),N 00º,51' 28,"53""",Jl. Kaliasin Dalam,
,(JONG THAI PAK KUNG) KALIASIN DALAM,Tian Ling Fa Gong (Yan Ting Du),E 108º,56' 52,"50""",RT 26/05 Kelurahan Sedau,
26,VIHARA SI FONG PAK KUNG,西方伯公廟(鹽町肚),N 00º,51' 26,"32""",Jl. Kaliasin Dalam,
,KALIASIN DALAM,Xi Fang Bo Gong Miao (Yan Ting Du),E 108º,56' 52,"05""",RT 26/05 Kelurahan Sedau,
27,VIHARA FUK NUNG KIUNG / SUI KHEU PAK KUNG,福農宮/水口伯公(鹽町肚),N 00º,51' 18,"04""",Jl. Kaliasin Dalam,
,KALIASIN DALAM,Fu Nong Gong / Shui Kou Bo Gong (Yan Ting Du),E 108º,56' 46,"93""",RT 27/05 Kelurahan Sedau,
28,CETIYA FAB MIN KIUNG,法民宮(鹽町肚),N 00º,51' 12,"43""",Jl. Kaliasin Dalam,
,KALIASIN DALAM,Fa Min Gong (Yan Ting Du),E 108º,56' 45,"11""",RT 27/05 Kelurahan Sedau,
29,VIHARA KON JIM MIAU,觀音廟(鹽町肚),N 00º,50' 52,"23""",Jl. Kaliasin Dalam Gg. Sip Si Sha Thon,
,KALIASIN DALAM,Guan Yin Miao (Yan Ting Du),E 108º,57' 27,"20""",RT 27/05 Kelurahan Sedau,
30,CETIYA SAM CHIN KIUNG,三清宮(鹽町肚),N 00º,50' 53,"04""",Jl. Kaliasin Dalam Gg. Cetya,
,KALIASIN DALAM,San Qing Gong (Yan Ting Du),E 108º,56' 42,"49""",RT 28/05 Kelurahan Sedau,
31,CETIYA FUK HIN THONG,福興堂(鹽町肚),N 00º,50' 30,"69""",Jl. Kaliasin Dalam,
,KALIASIN DALAM,Fu Xing Tang (Yan Ting Du),E 108º,57' 06,"15""",RT 29/05 Kelurahan Sedau,
32,CETIYA HIAN BONG MIAU,玄黄廟(鹽町肚-港尾),N 00º,50' 16,"13""",Jl. Kong Mui Kaliasin Dalam Gg. CHJ,
,KONGMUI - KALIASIN DALAM,Xian Huang Miao (Yan Ting Du-Gang Wei),E 108º,57' 12,"55""",RT 29/05 Kelurahan Sedau,
33,CETIYA KHIAN NYIAN KIUNG,乾元宮(鹽町肚-港尾),N 00º,49' 58,"98""",Jl. Kong Mui Kaliasin Dalam,
,KONGMUI - KALIASIN DALAM,Qian Yuan Gong (Yan Ting Du-Gang Wei),E 108º,57' 02,"09""",RT 29/05 Kelurahan Sedau,
34,VIHARA KON TI KIUNG,關帝宮(鹽町肚-港尾),N 00º,49' 41,"58""",Jl. Kong Mui Kaliasin Dalam,
,KONGMUI - KALIASIN DALAM,Guan Di Gong (Yan Ting Du-Gang Wei),E 108º,56' 53,"65""",RT 29/05 Kelurahan Sedau,
35,CETIYA TRIDHARMA BUMI RAYA KONG MUI,福德宮/大伯公(鹽町肚-港尾),N 00º,49' 16,"98""",Jl. Kong Mui Kaliasin Dalam,
,KONGMUI - KALIASIN DALAM,Fu De Gong / Da Bo Gong (Yan Ting Du-Gang Wei),E 108º,56' 26,"74""",RT 29/05 Kelurahan Sedau,
36,CETIYA FUK TET KIUNG,福德宮(茅屋肚),N 00º,52' 13,"95""",Jl. Budi Agung (Saliung) Kelurahan Sedau,
,PADANG PASIR (MIONG BUK TU),Fu De Gong (Mao Wu Du),E 108º,57' 08,"32""",Pemakaman Abadi Miong Buk Tu,
37,CETIYA THAI PAK KUNG KUNG,大伯公壇(茅屋肚),N 00º,52' 10,"80""",Jl. Budi Agung (Saliung) Gg. Ciu Long,
,PADANG PASIR (MIONG BUK TU),Da Bo Gong Tan (Mao Wu Du),E 108º,57' 01,"15""",RT 18/04 Kelurahan Sedau,
38,CETIYA PO ON THAN,保安壇(茅屋肚),N 00º,52' 25,"92""",Jl. Budi Agung (Saliung),
,PADANG PASIR (MIONG BUK TU),Bao An Tan (Mao Wu Du),E 108º,57' 01,"79""",RT 18/04 Kelurahan Sedau,
39,CETIYA PO SAN LO MU,寳山老母壇(茅屋肚),N 00º,52' 07,"12""",Jl. Budi Agung (Saliung),
,PADANG PASIR (MIONG BUK TU),Bao Shan Lao Mu Tan (Mao Wu Du),E 108º,57' 08,"49""",RT 18/04 Kelurahan Sedau,
40,VIHARA THIAN HEU KIUNG / CHIAP THIAN KIUNG,天后宮/協天宮(沙壟),N 00º,52' 39,"60""",Jl. Raya Padang Pasir (Saliung),
,PADANG PASIR (SALIUNG),Tian Hou Gong / Xie Tian Gong (Sha Long),E 108º,56' 59,"65""",RT 17/04 Kelurahan Sedau,
41,VIHARA TRIDHARMA SETYA BUMI RAYA,大伯公公廟(沙壟),N 00º,52' 42,"90""",Jl. Raya Padang Pasir (Saliung),
,PADANG PASIR (SALIUNG),Da Bo Gong Gong Miao (Sha Long),E 108º,57' 03,"71""",RT 17/04 Kelurahan Sedau,
42,VIHARA KHIAN TET KIUNG,乾德宮(沙壟),N 00º,53' 18,"68""",Jl. Raya Padang Pasir (Saliung),
,PADANG PASIR (SALIUNG),Qian De Gong (Sha Long),E 108º,57' 34,"39""",RT 08/02 Kelurahan Sedau,
43,VIHARA THAI PAK KUNG,大伯公廟(沙壟),N 00º,53' 04,"56""",Jl. Raya Padang Pasir (Saliung),
,PADANG PASIR (SALIUNG),Da Bo Gong Miao (Sha Long_,E 108º,57' 21,"02""",RT 10/02 Kelurahan Sedau,
44,CETIYA THI CU PAK KUNG,地主公壇(沙壟-監獄),N 00º,53' 00,"xx""",Jl. Raya Padang Pasir (Saliung),
,(LEMBAGA PEMASYARAKATAN),Di Zhu Bo Gong Tan (Sha Long-Jian Yu),E 108º,57' 24,"xx""",RT 10/02 Kelurahan Sedau,
45,VIHARA DHARMA BUDDHA MAITREYA,彌勒大道仁中佛堂(沙壟),N 00º,53' 04,"01""",Jl. Raya Padang Pasir (Saliung),
,PADANG PASIR (SALIUNG),Mi Le Da Dao Ren Zhong Fo Tang (Sha Long),E 108º,57' 16,"43""",RT 10/02 Kelurahan Sedau,
46,VIHARA THI CU KUNG (KIM LIUNG PAK KUNG),地主公廟/金龍伯公(沙壟),N 00º,52' 50,"36""",Jl. Laksitarda (Saliung),
,PADANG PASIR (SALIUNG),Di Zhu Gong Miao / Jin Long Bo Bong (Sha Long),E 108º,57' 16,"46""",RT 16/04 Kelurahan Sedau,
47,VIHARA FA NGOK KIUNG,華嶽宮(沙壟),N 00º,52' 39,"18""",Jl. Laksitarda (Saliung),
,PADANG PASIR (SALIUNG),Hue Yue Gong (Sha Long),E 108º,57' 22,"82""",RT 16/04 Kelurahan Sedau,
48,VIHARA CAKRAWALA DHARMA SINGKAWANG,誠德佛堂(沙壟),N 00º,52' 54,"00""",Jl. Latsitarda (Saliung),
,PADANG PASIR (SALIUNG),Cheng De Fo Tang (Sha Long),E 108º,57' 15,"20""",RT 16/04 Kelurahan Sedau,
49,VIHARA KHOI SAN THI CU PAK KUNG,開山地主大伯公廟(高杯山),N 00º,52' 02,"70""",Jl. Tanjung Batu Dalam,
,KOPISAN,Kai Shan Di Zhu Da Bo Gong Miao (Gao Bei Shan),E 108º,57' 47,"08""",RT 14/03 Kelurahan Sedau,
50,CETIYA FAB THO CIN NYIN,法道真人壇(高杯山),N 00º,52' 01,"06""",Jl. Tanjung Batu Dalam,
,KOPISAN,Fa Dao Zhen Ren Tan (Gao Bei Shan),E 108º,57' 45,"22""",RT 14/03 Kelurahan Sedau,
51,CETIYA KIU THIAN HIAN NG CUN SHIN,九天玄女尊神壇(高杯山),N 00º,51' 46,"09""",Jl. Tanjung Batu Dalam (Kopisan),
,KOPISAN,Jiu Tian Xian Nu Zun Shen Tan (Gao Bei Shan),E 108º,58' 06,"62""",RT 15/03 Kelurahan Sedau,
