name_indo,name_hanzi,name_pinyin,neighbourhood,gps_lat,gps_lon,address,ref_no,region,id
CETIYA SAM CHIN KIUNG,三清宮(志师坛),Shan Qing Gong (Zhi Shi Tan),JL. BURHANI,0.8905555555555555,108.99222222222222,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",,central,c51
CETIYA THAI PAK KUNG,大伯公庙(志师坛),Da Bo Gong Miao (Zhi Shi Tan),JL. BURHANI,0.8905555555555555,108.99222222222222,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",,central,c52
CETIYA LIUK LIUK KONG SEN,六六罡星(志师坛),Liu Liu Gang Xing (Zhi Shi Tan),JL. BURHANI,0.8916666666666666,108.99361111111111,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",,central,c53
CETIYA SAM CHIN FAB THAN,三清法坛(志师坛),Shan Qing Fa Tan (Zhi Shi Tan),JL. BURHANI,0.8911111111111111,108.99333333333334,"Jl. Kridasana Gg. Tujuh Puluh, RT 24/10 Kelurahan Pasiran",,central,c54
VIHARA SAK CHI KIUNG,石慈官(运动场),Shi Ci Gong (Yun Dong Chang),JL. KRIDASANA,0.8869444444444444,108.98333333333333,"Jl. Kridasana Gg. Karya II No.79, RT 28/11 Kelurahan Pasiran",,central,c55
CETIYA FUNG MIAN CIONG KIUN,紅面將军(运动场),Hong Mian Jiang Jun (Yun Dong Chang),JL. KRIDASANA,0.8933333333333333,108.98611111111111,"Jl. Kridasana Gg. Karya I, RT 52/11 Kelurahan Pasiran",,central,c56
CETIYA FUT SHIN KIUNG,佛神宮(运动场),Fo Shen Gong (Yun Dong Chang),JL. KRIDASANA,0.8936111111111111,108.98666666666666,"Jl. Kridasana Gg. Karya I, RT 52/11 Kelurahan Pasiran",,central,c57
CETIYA FA SAN LI FAB THAN,华山李法坛(运动场),Hua Shan Li Fa Tan (Yun Dong Chang),JL. KRIDASANA,0.8927777777777778,108.98555555555555,"Jl. Kridasana Gg. Karya I, RT 52/11 Kelurahan Pasiran",,central,c58
VIHARA THAI PAK KUNG / BUN BU NYIAN SAI,大伯公庙/文武元帅庙,Da Bo Gong Miao / Wen Wu Yuan Shuai,JL. KRIDASANA,0.8969444444444444,108.98777777777778,"Jl. Kridasana Gg. Setuju, RT 22/09 Kelurahan Pasiran",,central,c59
CETIYA FAB SHI THAN,法师坛,Fa Shi Tan,JL. KRIDASANA,0.8969444444444444,108.98722222222223,"Jl. Kridasana Gg. Makasar, RT 20/09 Kelurahan Pasiran",,central,c60
VIHARA TRIDHARMA PAK KUNG PAK PHO,大伯公庙(三叉路),Da Bo Gong Miao (San Cha Lu),JL. KRIDASANA,0.895,108.98333333333333,"Jl. Pelita Gg. Lembah I No.32, RT 27/11 Kelurahan Pasiran",,central,c61
VIHARA DHARMA BUDDHA DHAMMA SAVANA,晋恩佛堂(三叉路),Jin En Fo Tang (San Cha Lu),JL. YOHANA GODANG,0.8983333333333333,108.98444444444445,"Jl. Yohana Godang No.57, RT 48/17 Kelurahan Pasiran",,central,c62
CETIYA LUI THIAN CU SHI,雷天祖师庙(三叉路),Lei Thian Zu Shi Miao (San Cha Lu),JL. STASIUN,0.9027777777777778,108.98805555555556,"Jl. Stasiun, RT 04/02 Kelurahan Pasiran",,central,c63
VIHARA TRIDHARMA BUMI RAYA,港尾大伯公庙(港尾),Gang Wei Da Bo Gong (Gang Wei),PASAR TURI,0.9052777777777778,108.99277777777777,"Jl. Pasar Turi No.21, RT 12/04 Kelurahan Pasiran",,central,c64
CETIYA THAI PAK KUNG KUNG,大伯公公庙(港尾肚),Da Bo Gong Gong Miao (Gang Wei Du),PASAR TURI DALAM,0.9016666666666667,108.99694444444445,"Jl. Pasar Turi Dalam, RT 18/07 Kelurahan Pasiran",,central,c65
CETIYA THAI PAK KUNG,大伯公坛,Da Bo Gong Tan,Jl. SAMA-SAMA,0.9055555555555556,108.99083333333333,"Jl. Sama-sama, RT 09/05 Kelurahan Pasiran",,central,c66
CETIYA NYIAN SAI THONG,元帅堂,Yuan Shuai Tang,Jl. SAMA-SAMA 2,0.905,108.99111111111111,"Jl. Sama-sama 2 No.76, RT 09/04 Kelurahan Pasiran",,central,c67
VIHARA TRIDHARMA BUMI RAYA DEWI SAMUDERA,天后宫/天后圣母,Tian Hou Gong / Tian Hou Sheng Mu,JL. SAMAN BUJANG,0.9066666666666667,108.98722222222223,"Jl. Saman Bujang No.29, RT 11/03 Kelurahan Pasiran",,central,c68
VIHARA TRIDHARMA BUDI DHARMA,观音官,Guan Yin Gong,JL. GM. SITUT,0.905,108.98972222222223,"Jl. GM. Situt, RT 07/02 Kelurahan Pasiran",,central,c69
VIHARA HIAN THIAN SONG TI,玄天上帝庙,Xian Tian Shang Di Miao,JL. GM. SITUT,0.9030555555555556,108.98833333333333,"Jl. GM. Situt, RT 04/02 Kelurahan Pasiran",,central,c70
VIHARA SHI THIAN FUT CU,西天佛祖庙,Xi Tian Fo Zu Miao,GUNUNG SARI,0.8897222222222222,108.97694444444444,"Jl. Gunung Sari Gg. Puncak sari, RT 30/12 Kelurahan Pasiran",,central,c71
CETIYA SAK KU THAI BONG,石古大王坛,Shi Gu Da Wang Tan,GUNUNG SARI,0.8925,108.97944444444444,"Jl. Gunung Bawang, RT 30/12 Kelurahan Pasiran",,central,c72
CETIYA THAI PAK KUNG KUNG,大伯公坛,Da Bo Gong Tan,GUNUNG SARI,0.8866666666666666,108.98111111111112,"Jl. Taman Gunung Sari, RT 28/11 Kelurahan Pasiran",,central,c73
CETIYA KON JIM KIUNG,观音官(石角),Guan Yin Gong (Shi Jiao),JL. A. YANI / SAKKOK,0.8916666666666666,108.96527777777779,"Jl. A. Yani No.24, RT 33/14 Kelurahan Pasiran",,central,c74
CETIYA FAB SHI KUNG KUNG,法師公公壇(長沙吧),Fa Shi Gong Gong Tan (Zhang Sha Ba),PASIR PANJANG,0.8502777777777778,108.88694444444445,"Jl. Pasir Panjang Pak Lotay, RT 64/10 Kelurahan Sedau",,south,s0
CETIYA FUK SHIN BONG KIUNG,福聖王宮(锅麻港),Fu Sheng Wang Gong (Guo Ma Gang),BOKMAKONG - PASIR PANJANG,0.8352777777777778,108.89777777777779,"Jl. Raya Pasir Panjang (Bokmakong), RT 65/10 Kelurahan Sedau",,south,s1
VIHARA SHIN TET KIUNG,聖德宮(禮朗),Sheng De Gong (Li Lang),GUNUNG BESI - LIRANG,0.8402777777777778,108.91527777777779,"Jl. Lirang Proyek, RT 49/08 Kelurahan Sedau",,south,s2
VIHARA DHARMA BUDDHA MAITREYA,彌勒大道仁中佛堂(禮朗),Mi Le Da Dao Ren Zhong Fo Tang (Li Lang),GUNUNG BESI - LIRANG,0.8380555555555556,108.91722222222222,"Jl. Lirang Proyek, RT 50/08 Kelurahan Sedau",,south,s3
VIHARA FUK BONG KIUNG,福王宮(禮朗),Fu Wang Gong (Li Lang),GUNUNG BESI - LIRANG,0.7702777777777778,108.905,"Jl. Lirang Proyek, RT 53/08 Kelurahan Sedau",,south,s4
VIHARA FUT FAB KIUNG,佛法宮(禮朗),Fo Fa Gong (Li Lang),GUNUNG BESI - LIRANG,0.8400000000000001,108.91805555555555,"Jl. Pendidikan (Lirang Proyek), RT 50/08 Kelurahan Sedau",,south,s5
VIHARA FAB CHIN MIAU,法清廟(礼朗),Fa Qing Miao (Li Lang),GUNUNG BESI (LIRANG),0.8477777777777779,108.91972222222223,"Jl. Gunung Besi Raya, RT 48/08 Kelurahan Sedau",,south,s6
VIHARA FUK TET KIUNG / KON THIAN PAK KUNG,福德宮/官田伯公(禮朗),Fu De Gong / Guan Tian Bo Gong (Li Lang),GUNUNG BESI - LIRANG,0.8530555555555556,108.9238888888889,"Jl. Telkom Gunung Besi, RT 47/08 Kelurahan Sedau",38,south,s7
CETIYA SAK CIONG KIUN,石将宮(禮朗),Shi Jiang Gong (Li Lang),GUNUNG BESI - LIRANG,0.8497222222222223,108.92361111111111,"Jl. Telkom Gunung Besi, RT 47/08 Kelurahan Sedau",,south,s8
VIHARA HONG DE,宏德佛堂(禮朗),Hong De Fo Tang (Li Lang),GUNUNG BESI - LIRANG,0.8533333333333333,108.92611111111111,"Jl. Sejahtera No.55, RT 46/08 Kelurahan Sedau",,south,s9
CETIYA THO FAB SIU LIN,道法授靈壇(亜答港),Dao Fa Shou Ling Tan (Ya Da Gang),SEDAU,0.861111111111111,108.90444444444445,"Jl. Malindo Teluk Karang Gg. PDAM, RT 39/07 Kelurahan Sedau",,south,s10
CETIYA LIN SAN KIUNG THONG,靈山宮堂(亜答港),Ling Shan Gong Tang (Ya Da Gang),SEDAU,0.86,108.9038888888889,"Jl. Malindo Teluk Karang Gg. PDAM, RT 39/07 Kelurahan Sedau",,south,s11
VIHARA PET TI KIUNG,北帝宮(亜答港),Bei Di Gong (Ya Da Gang),SEDAU,0.8641666666666666,108.92694444444444,"Jl. Malindo Teluk Karang, RT 40/07 Kelurahan Sedau",36,south,s12
VIHARA SAM CHIN FAB JAN,三清法院(亜答港),San Qing Fa Yuan (Ya Da Gang),SEDAU,0.8694444444444445,108.92611111111111,"Jl. Malindo Teluk Karang No.01, RT 41/07 Kelurahan Sedau",37,south,s13
VIHARA KON JIM MIAU,觀音廟(亜答港),Guan Yin Miao (Ya Da Gang),SEDAU,0.8569444444444444,108.91777777777779,"Jl. Malindo Teluk Karang (Dalam), RT 40/07 Kelurahan Sedau",,south,s14
VIHARA TRIDHARMA BUMI RAYA,大伯公廟(亜答港),Da Bo Gong Miao (Ya Da Gang),SEDAU,0.8658333333333333,108.92861111111111,"Jl. Raya Pasar Sedau, RT 36/06 Kelurahan Sedau",26,south,s15
