name_indo,name_hanzi,name_pinyin,neighbourhood,gps_lat,gps_lon,address
VIHARA KHIAN TET KIUNG,乾德宮(沙垄),Qian De Gong (Sha Long),PADANG PASIR (SALIUNG),0.8885222222222222,108.95955277777779,"Jl. Raya Padang Pasir (Saliung), RT 08/02 Kelurahan Sedau"
VIHARA THAI PAK KUNG,大伯公廟(沙垄),Da Bo Gong Miao (Sha Long_,PADANG PASIR (SALIUNG),0.8845999999999999,108.95583888888889,"Jl. Raya Padang Pasir (Saliung), RT 10/02 Kelurahan Sedau"
VIHARA DHARMA BUDDHA MAITREYA,彌勒大道仁中佛堂(沙垄),Mi Le Da Dao Ren Zhong Fo Tang (Sha Long),PADANG PASIR (SALIUNG),0.8844472222222222,108.9545638888889,"Jl. Raya Padang Pasir (Saliung), RT 10/02 Kelurahan Sedau"
VIHARA THI CU KUNG (KIM LIUNG PAK KUNG),地主公廟/金龙伯公(沙垄),Di Zhu Gong Miao / Jin Long Bo Bong (Sha Long),PADANG PASIR (SALIUNG),0.8806555555555556,108.95457222222223,"Jl. Laksitarda (Saliung), RT 16/04 Kelurahan Sedau"
VIHARA FA NGOK KIUNG,华嶽宮(沙垄),Hue Yue Gong (Sha Long),PADANG PASIR (SALIUNG),0.87755,108.9563388888889,"Jl. Laksitarda (Saliung), RT 16/04 Kelurahan Sedau"
VIHARA CAKRAWALA DHARMA SINGKAWANG,诚德佛堂(沙垄),Cheng De Fo Tang (Sha Long),PADANG PASIR (SALIUNG),0.8816666666666667,108.95422222222223,"Jl. Latsitarda (Saliung), RT 16/04 Kelurahan Sedau"
VIHARA KHOI SAN THI CU PAK KUNG,开山地主大伯公廟(高杯山),Kai Shan Di Zhu Da Bo Gong Miao (Gao Bei Shan),KOPISAN,0.8674166666666667,108.96307777777778,"Jl. Tanjung Batu Dalam, RT 14/03 Kelurahan Sedau"
CETIYA FAB THO CIN NYIN,法道真人坛(高杯山),Fa Dao Zhen Ren Tan (Gao Bei Shan),KOPISAN,0.8669611111111112,108.96256111111111,"Jl. Tanjung Batu Dalam, RT 14/03 Kelurahan Sedau"
CETIYA KIU THIAN HIAN NG CUN SHIN,九天玄女尊神坛(高杯山),Jiu Tian Xian Nu Zun Shen Tan (Gao Bei Shan),KOPISAN,0.8628027777777778,108.96850555555555,"Jl. Tanjung Batu Dalam (Kopisan), RT 15/03 Kelurahan Sedau"
CETIYA JIN FUK KUI THONG,引福歸堂(高杯山),Yin Fu Gui Tang (Gao Bei Shan),KOPISAN,0.8629611111111111,108.97004166666667,"Jl. Tanjung Batu Dalam (Kopisan) Gg. Bugis, RT 15/03 Kelurahan Sedau"
