name_indo,name_hanzi,name_pinyin,road,gps_lat,gps_lon,address,ref_no,id,num_images,region
CETIYA NAM HOI KON JIM NYIONG NYIONG,南海觀音娘娘廟,Nan Hai Guan Yin Niang Niang Miao,JL. TANI,0.9111527777777778,108.97381111111112,"Jl. Tani Gg. Cimahi, RT 04/01 Kelurahan Kuala",,B26,,Barat (West)
CETIYA SI THAI THIAN BONG,四大天王廟,Si Da Tian Wang Miao,JL. TANI,0.9104777777777778,108.976575,"Jl. Tani Gg. Pekong, RT 04/01 Kelurahan Kuala",,B27,,Barat (West)
CETIYA KIM SAN PAK KUNG,金山伯公廟,Jin Shan Bo Gong Miao,JL. TANI,0.9075833333333334,108.97646666666667,"Jl. Tani Gg. Seksama, RT 04/01 Kelurahan Kuala",,B28,,Barat (West)
CETIYA KIM SAN MIAU,金山廟,Jin Shan Miao,JL. KELAPA DUA,0.9130166666666667,108.97314444444444,"Jl. Kelapa Dua, RT 04/01 Kelurahan Kuala",,B29,,Barat (West)
CETIYA FAB SHI MIAU,法師廟,Fa Shi Miao,JL. KELAPA DUA,0.9114694444444444,108.97325000000001,"Jl. Kelapa Dua, RT 13/03 Kelurahan Kuala",,B30,,Barat (West)
VIHARA TUNG SHIN KIUNG / THAI SHIN JA,東聖官/大聖爺(蓮堂路),Dong Sheng Gong (Lian Tang Lu),JL. P. NATUNA,0.9023833333333333,108.98952222222222,"Jl. P. Natuna No.131, RT 15/08 Kelurahan Pasiran",5,B31,7,Barat (West)
VIHARA THO FAB KIUNG,道法官(蓮堂路),Dao Fa Gong (Lian Tang Lu),JL. P. NATUNA,0.9025722222222222,108.99025,"Jl. P. Natuna No.22, RT 14/06 Kelurahan Pasiran",35,B32,7,Barat (West)
VIHARA PAK SAN CHAU KIUNG,伯山朝官(蓮堂路),Bo Shan Chao Gong (Lian Tang Lu),JL. P. NATUNA,0.9029111111111111,108.98929722222222,"Jl. P. Natuna No.16, RT 14/06 Kelurahan Pasiran",,B33,,Barat (West)
CETIYA THAI CI MIAU,太子廟(蓮堂路),Tai Zi Miao (Lian Tang Lu),JL. P. NATUNA,0.9030472222222222,108.98943888888888,"Jl. P. Natuna, RT 14/06 Kelurahan Pasiran",,B34,,Barat (West)
CETIYA CI KO THAI BONG,志高大王壇(蓮堂路),Zhi Gao Da Wang (Lian Tang Lu),JL. P. NATUNA,0.8989527777777777,108.9927,"Jl. P. Natuna Gg. Bambu, RT 17/07 Kelurahan Pasiran",,B35,,Barat (West)
CETIYA TUNG SHIN MIAU,東聖廟(蓮堂路),Dong Sheng Miao (Lian Tang Lu),JL. P. NATUNA,0.9009,108.99210277777777,"Jl. P. Natuna Gg. Samudera, RT 17/07 Kelurahan Pasiran",,B36,,Barat (West)
VIHARA SAM CHIN MIAU / FAB ZHU KUNG,三清廟/法主公(蓮堂路),San Qing Miao / Fa Zhu Gong (Lian Tang Lu),JL. P. NATUNA,0.9018027777777778,108.99178888888889,"Jl. P. Natuna Gg. Sinar No.81, RT 14.06 Kelurahan Pasiran",20,B37,9,Barat (West)
CETIYA KON JIM FUT MU,觀音佛母壇(蓮堂路),Guan Yin Fo Mu Tan (Lian Tang Lu),JL. P. NATUNA,0.9062694444444445,108.99236666666667,"Jl. Pasar Turi, RT 08/04 Kelurahan Pasiran",,B38,,Barat (West)
CETIYA SIAN KIUNG MIAU FAB,仙宮妙法(井斗厰),Xian Gong Miao Fa (Jing Dou Chang),JL. P. NATUNA,0.8973944444444444,108.98883055555555,"Jl. P. Natuna, RT 21/08 Kelurahan Pasiran",,B39,,Barat (West)
CETIYA CONG THIAN SHI,張天師廟(公司山),Zhang Tian Shi Miao (Gong Si Shan),JL. P. NATUNA,0.9000666666666667,108.994775,"Jl. P. Natuna Gg. Sukses, RT 16/06 Kelurahan Pasiran",46,B40,6,Barat (West)
CETIYA FAB SHI MIAU,法師廟(公司山),Fa Shi Miao (Gong Si Shan),JL. P. NATUNA,0.8999111111111111,108.99471944444444,"Jl. P. Natuna Gg. Sukses, RT 16/06 Kelurahan Pasiran",,B41,,Barat (West)
