"// Altar West raw data""",,,,,,,,,,,,,,,,,,
,,,,, No. ,68, RT ,42, RW ,15,E,108,58,25,97, Pantak , N ,
W25, THAI CU SHIN TI ,,,P," Jl. Tani Gg. Seksama 2, Kel. Pasiran ",,,,,,N,0,54,27,59, Foto ,219,West
,,,,, No. ,21, RT ,42, RW ,15,E,108,58,14,47, Pantak , N ,
W26, CHAU KONG NYIAN SAI ,,,T," Jl. Tani Gg. Taman Buah Naga, Pasiran ",,,,,,N,0,54,16,75, Foto ,208,West
,,,,, No. ,38, RT ,40, RW ,15,E,108,58,17,63, Pantak , N ,
W27, NO NAME ,,,P," Jl. Tani II, Kel. Pasiran ",,,,,,N,0,54,22,14, Foto ,209,West
,,,,, No. ,58B, RT ,40, RW ,15,E,108,58,10,81, Pantak , N ,
W28, BU MIAN CIONG KIUN ,,,T," Jl. Tani, Kel. Pasiran ",,,,,,N,0,54,12,28, Foto ,207,West
,,,,, No. ,97, RT ,40, RW ,15,E,108,58,17,43, Pantak , N ,
W29, CHAU KONG NYIAN SAI ,,,P," Jl. Tani, Kel. Pasiran ",,,,,,N,0,54,16,17, Foto ,295,West
,,,,, No. ,36, RT ,40, RW ,15,E,108,58,20,3, Pantak , N ,
W30, LO SHI KUNG ,,,T," Jl. Tani Gg. Cisadane, Kel. Pasiran ",,,,,,N,0,54,1,21, Foto ,199,West
,,,,, No. ,46, RT ,39, RW ,15,E,108,58,1,55, Pantak , N ,
W31, CUNG NYI THONG ,,,T," Jl. Tani Gg. Cisadane, Kel. Pasiran ",,,,,,N,0,54,1,61, Foto ,200,West
,,,,, No. ,46, RT ,39, RW ,15,E,108,58,1,85, Pantak , N ,
W32, DATUK BUYUR ,,,T," Jl. Tani, Kel. Pasiran ",,,,,,N,0,53,43,13, Foto ,198,West
,,,,, No. ,99, RT ,34, RW ,14,E,108,57,56,8, Pantak , N ,
W33, NG BONG THAI KIUN ,,,T," Jl. Alianyang Gg. Seksama, Kel. Pasiran ",,,,,,N,0,54,25,65, Foto ,250,West
,,,,, No. ,49A, RT ,42, RW ,15,E,108,58,36,30, Pantak , N ,
W34, BUN BU CIONG KIUN ,,,P," Jl. Alianyang Gg. Seksama, Kel. Pasiran ",,,,,,N,0,54,23,53, Foto ,249,West
,,,,, No. ,, RT ,42, RW ,15,E,108,58,38,49, Pantak , N ,
W35, CHIANG SAN CIONG KIUN ,,,T," Jl. Alianyang Gg. Seksama, Kel. Pasiran ",,,,,,N,0,54,26,63, Foto ,251,West
,,,,, No. ,61, RT ,42, RW ,15,E,108,58,35,6, Pantak , N ,
W36, CHIAU SAN PAK KUNG ,,,T," Jl. Alianyang Gg. Kencana, Kel. Pasiran ",,,,,,N,0,54,21,74, Foto ,248,West
,,,,, No. ,3F, RT ,42, RW ,15,E,108,58,34,13, Pantak , N ,
W37, BU LUI CIONG KIUN ,,,T," Jl. Alianyang, Kel. Pasiran ",,,,,,N,0,54,12,69, Foto ,138,West
,,,,, No. ,30, RT ,41, RW ,15,E,108,58,32,66, Pantak , Y ,
W38, SAM CHIN KAU CU ,,,T," Jl. Alianyang, Kel. Pasiran ",,,,,,N,0,54,4,47, Foto ,139,West
,,,,, No. ,17E, RT ,41, RW ,15,E,108,58,26,8, Pantak , Y ,
W39, LO CU THIAN SHI ,,,P," Jl. Alianyang, Kel. Pasiran ",,,,,,N,0,53,56,48, Foto ,203,West
,,,,, No. ,6, RT ,41, RW ,15,E,108,58,19,97, Pantak , N ,
W40, SAM KON LIN CIONG ,,,T," Jl. Alianyang, Kel. Pasiran ",,,,,,N,0,54,9,68, Foto ,201,West
,,,,, No. ,17, RT ,40, RW ,15,E,108,58,28,68, Pantak , N ,
W41, PIT TET THAI CI ,,,T," Jl. Alianyang, Kel. Pasiran ",,,,,,N,0,53,57,4, Foto ,202,West
,,,,, No. ,18, RT ,39, RW ,15,E,108,58,19,29, Pantak , N ,
W42, KON KUNG ,,,P," Jl. Alianyang, Kel. Pasiran ",,,,,,N,0,54,6,72, Foto ,204,West
,,,,, No. ,34, RT ,39, RW ,15,E,108,58,16,24, Pantak , N ,
W43, FU THAI NYIAN SAI ,,,T," Jl. Alianyang, Kel. Pasiran ",,,,,,N,0,54,34,78, Foto ,191,West
,,,,, No. ,24, RT ,1, RW ,1,E,108,58,47,23, Pantak , N ,
W44, LI SAN PAK KUNG ,,,P," Jl. Alianyang Gg. Tri Sakti, Kel. Pasiran ",,,,,,N,0,54,7,55, Foto ,205,West
,,,,, No. ,61G, RT ,40, RW ,15,E,108,58,25,44, Pantak , N ,
W45, SAM CHIN FAB THAN ,,,T," Jl. Alianyang Gg. Abadi, Kel. Pasiran ",,,,,,N,0,54,31,23, Foto ,190,West
,,,,, No. ,8, RT ,1, RW ,1,E,108,58,48,14, Pantak , N ,
W46, HIU PIT TET ,,,T," Jl. Alianyang Gg. Reformasi, Kel. Pasiran ",,,,,,N,0,54,24,96, Foto ,197,West
,,,,, No. ,311, RT ,1, RW ,1,E,108,58,45,55, Pantak , N ,
W47, NG THO LIN BONG ,,,T," Jl. Alianyang Gg. Suka Damai, Kel. Pasiran ",,,,,,N,0,54,29,22, Foto ,189,West
,,,,, No. ,4i, RT ,1, RW ,1,E,108,58,47,32, Pantak , N ,
W48, PHAK LIAN SHI KUNG ,,,T," Jl. Alianyang Gg. Nagasari, Kel. Pasiran ",,,,,,N,0,54,31,89, Foto ,259,West
,,,,, No. ,33D, RT ,59, RW ,1,E,108,58,42,89, Pantak , N ,
W49, CHAI PAK KUNG ,,,T," Jl. Swadaya, Kel. Pasiran ",,,,,,N,0,54,32,13, Foto ,183,West
,,,,, No. ,43, RT ,43, RW ,16,E,108,58,49,17, Pantak , N ,
W50, DATUK BUJANG BERANI ,,,T," Jl. Swadaya, Kel. Pasiran ",,,,,,N,0,54,23,3, Foto ,184,West
,,,,, No. ,43, RT ,43, RW ,16,E,108,58,49,18, Pantak , N ,
W51, SAM BONG CIONG KIUN ,,,T," Jl. Swadaya, Kel. Pasiran ",,,,,,N,0,54,22,69, Foto ,185,West
,,,,, No. ,43, RT ,43, RW ,16,E,108,58,48,62, Pantak , N ,
W52, CONG SAN PAK KUNG ,,,T," Jl. Swadaya, Kel. Pasiran ",,,,,,N,0,54,22,39, Foto ,186,West
,,,,, No. ,38I, RT ,1, RW ,1,E,108,58,47,91, Pantak , N ,
W53, KIM SAN PAK KUNG ,,,T," Jl. Swadaya, Kel. Pasiran ",,,,,,N,0,54,26,11, Foto ,188,West
,,,,, No. ,41, RT ,1, RW ,1,E,108,58,51,64, Pantak , N ,
W54, DATUK ULAR PUTIH ,,,T," Jl. Swadaya, Kel. Pasiran ",,,,,,N,0,54,26,9, Foto ,187,West
,,,,, No. ,36A, RT ,1, RW ,1,E,108,58,50,93, Pantak , N ,
W55, PHAK LIUNG THAI CI ,,,T," Jl. SM. Tsjafioeddin, Kel. Pasiran ",,,,,,N,0,54,26,82, Foto ,147,West
,,,,, No. ,44, RT ,2, RW ,1,E,108,59,9,40, Pantak , Y ,
W56, NG MU NYIONG NYIONG ,,,T," Jl. SM. Tsjafioeddin, Kel. Pasiran ",,,,,,N,0,43,26,83, Foto ,148,West
,,,,, No. ,44, RT ,2, RW ,1,E,108,59,9,60, Pantak , N ,
