UID,altar_Name,address,village,gps_lat,gps_lon,region,num_photos,photo_ref,pantak
WP83, LIONG SAN FAB THAN ," Jl. Kridasana Gg. Karya I, Kel. Pasiran  No. 27M, RT 52",Parisan,0.8940555555555555,108.98539722222222,West,,91, N 
WP84, CIN LIUNG PAK KUNG ," Jl. Kridasana Gg. Karya II, Kel. Pasiran  No. 82, RT 28",Parisan,0.8882416666666666,108.98425277777778,West,,86, N 
WP85, SAK BONG CHIAN SOI ," Jl. Kridasana Gg. Karya II, Kel. Pasiran  No. 72, RT 28",Parisan,0.8873333333333333,108.99894444444445,West,,84, N 
WP86, NG FONG PAK KUNG ," Jl. Kridasana Gg. Karya II, Kel. Pasiran  No. 70A, RT 28",Parisan,0.8872055555555556,108.98189166666667,West,,85, N 
WP87, KELENTENG HARIMAU PUTIH ," Jl. Kridasana Gg. Tujuh Puluh, Kel. Pasiran  No. 31, RT 26",Parisan,0.89005,108.98836666666666,West,,83, N 
WP88, CONG PAK KUNG KUNG ," Jl. Kridasana Gg. Tujuh Puluh, Kel. Pasiran  No. 83, RT 26",Parisan,0.8897138888888888,108.98865277777777,West,,79, N 
WP89, KON JIM FUT MU ," Jl. Kridasana Gg. Tujuh Puluh, Kel. Pasiran  No. 45, RT 26",Parisan,0.8907638888888889,108.98913055555556,West,,78, N 
WP90, SAK THO CIONG KIUN ," Jl. Kridasana Gg. Tujuh Puluh, Kel. Pasiran  No. 82B, RT 26",Parisan,0.8892611111111111,109.00591944444444,West,,80, N 
WP91, PIT TET SEN KIUN ," Jl. Kridasana Gg. Setuju, Kel. Pasiran  No. 12B, RT 22",Parisan,0.89725,108.98787777777778,West,,13, N 
WP92, THO FAB SIAN SHI ," Jl. Kridasana Gg. Setuju, Kel. Pasiran  No. 41, RT 22",Parisan,0.8967027777777777,108.98783055555556,West,,15, N 
WP93, LIE TET SIAN ," Jl. Kridasana Gg. Setuju, Kel. Pasiran  No. 35, RT 22",Parisan,0.8967277777777778,108.98784444444445,West,,14, N 
WP94, THIAN SHI FAB THAN ," Jl. Kridasana Gg. Setuju, Kel. Pasiran  No. 42, RT 22",Parisan,0.8966361111111111,108.98773055555556,West,,16, N 
WP95, SAK BONG THAN ," Jl. Kridasana Gg. Setuju, Kel. Pasiran  No. 155, RT 23",Parisan,0.896825,108.9885388888889,West,,112, N 
WP96, SHI THIAN FUT CU ," Jl. Kridasana Gg. Makasar, Kel. Pasiran  No. 81H, RT 20",Parisan,0.8970277777777778,108.98725,West,,17, Y 
WP97, KIM SAN PAK KUNG ," Jl. Kridasana Gg. Makasar, Kel. Pasiran  No. 92, RT 20",Parisan,0.8982749999999999,108.98753333333333,West,,19, N 
WP98, KIU THIAN HIAN NG ," Jl. Kridasana Gg. Makasar, Kel. Pasiran  No. 81M, RT 20",Parisan,0.8970305555555556,108.98743333333333,West,,18, N 
WP99, CHE THIAN THAI SHIN ," Jl. Kridasana Gg. Tondano, Kel. Pasiran  No. 60, RT 20",Parisan,0.89815,108.98658611111111,West,,21, N 
WP100, THAI SONG LO KIUN ," Jl. Kridasana Gg. Tondano, Kel. Pasiran  No. 36, RT 20",Parisan,0.8982249999999999,108.98676944444445,West,,20, N 
WP101, FAB TJHU KUNG ," Jl. GM. Situt Gg. Bakti, Kel. Pasiran  No. 56, RT 55",Parisan,0.9006388888888889,108.98963888888889,West,,33, N 
WP102, DATUK KEMUNING ," Jl. GM. Situt Gg. Bakti, Kel. Pasiran  No. 1, RT 55",Parisan,0.9018,108.98823055555556,West,,31, N 
WP103, FUNG MIAN CIONG KIUN ," Jl. GM. Situt Gg. Bakti, Kel. Pasiran  No. 17, RT 21",Parisan,0.9008611111111111,108.98947222222222,West,,32, N 
