WP1, NE' PANGLIMA ITAPM ,,,T," Jl. P. Diponegoro, Kel. Pasiran ",,,,,,N,0,54,12,1, Foto ,159,West,Parisan
,,,,, No. ,12D, RT ,60, RW ,19,E,108,59,6,48, Pantak , Y ,,
WP2, CHIN SAN THAI BONG ,,,T," Jl. P. Diponegoro Gg. Tujuh Belas, Pasiran ",,,,,,N,0,54,8,37, Foto ,141,West,Parisan
,,,,, No. ,64, RT ,56, RW ,18,E,108,58,54,51, Pantak , N ,,
WP3, NO NAME ,,,T," Jl. P. Diponegoro Gg. Tujuh Belas, Pasiran ",,,,,,N,0,54,10,50, Foto ,142,West,Parisan
,,,,, No. ,5A, RT ,56, RW ,18,E,108,58,51,14, Pantak , N ,,
WP4, CHIAU SAN PAK KUNG ,,,T," Jl. P. Diponegoro Gg. Empat Lima, Pasiran ",,,,,,N,0,54,15,84, Foto ,144,West,Parisan
,,,,, No. ,12, RT ,56, RW ,18,E,108,58,59,31, Pantak , N ,,
WP5, NG FU LIN CIONG ,,,T," Jl. P. Diponegoro Gg. Proklamasi, Pasiran ",,,,,,N,0,54,6,5, Foto ,140,West,Parisan
,,,,, No. ,8I, RT ,50, RW ,18,E,108,58,53,95, Pantak , N ,,
WP6, FUT FAB THAN ,,,T," Jl. P. Diponegoro Gg. Wisata, Kel. Pasiran ",,,,,,N,0,54,3,22, Foto ,94,West,Parisan
,,,,, No. ,80, RT ,50, RW ,18,E,108,58,51,96, Pantak , Y ,,
WP7, KIM SAN PAK KUNG ,,,T," Jl. P. Diponegoro Gg. Wisata, Kel. Pasiran ",,,,,,N,0,54,5,83, Foto ,95,West,Parisan
,,,,, No. ,119, RT ,50, RW ,18,E,108,58,49,55, Pantak , N ,,
WP8, MASTER LU  ,,,P," Jl. P. Diponegoro Gg. Agustus, Pasiran ",,,,,,N,0,54,12,59, Foto ,143,West,Parisan
,,,,, No. ,40, RT ,56, RW ,18,E,108,58,57,88, Pantak , N ,,
WP9, LO ZHU SHIN TI KUNG ,,,T," Jl. P. Diponegoro Gg. Empat Lima, Pasiran ",,,,,,N,0,54,14,61, Foto ,145,West,Parisan
,,,,, No. ,33, RT ,44, RW ,18,E,108,59,1,67, Pantak , N ,,
WP10, DATUK SUNGKUNG ,,,T," Jl. P. Diponegoro Gg. Empat Lima, Pasiran ",,,,,,N,0,54,14,19, Foto ,146,West,Parisan
,,,,, No. ,31, RT ,44, RW ,18,E,108,59,1,96, Pantak , N ,,
WP11, BU CHIUNG CIONG KIUN ,,,T," Jl. P. Diponegoro Gg. Timur, Kel. Pasiran ",,,,,,N,0,53,58,44, Foto ,136,West,Parisan
