name_indo,name_hanzi,name_pinyin,neighbourhood,gps_lat,gps_lon,address,ref_no
VIHARA FUK TET FA NGOK KIUNG,福德华岳宮(三吧叻),Fu De Hua Yue Gong (San Ba Le),SEMPALIT,0.8333333333333334,108.98138888888889,"Jl. Sagatani Simajat, RT 23/05 Kelurahan Sijangkung",
VIHARA SHUI KHEU PAK KUNG,水口伯公廟(三吧叻),Shui Kou Bo Gong Miao (San Ba Le),SEMPALIT,0.8352777777777778,108.97888888888889,"Jl. Sagatani Simajat, RT 22/05 Kelurahan Sijangkung",
CETIYA LIN SAN NG FUK THAN,靈山五福壇(巴古喃),Ling Shan Wu Fu Tan (Ba Gu Nan),PAKUNAM,0.8475,108.97444444444444,"Jl. Bougenville, RT 21/04 Kelurahan Sijangkung",
VIHARA HIAN THIAN KIUNG,玄天宮(巴古喃),Xian Tian Gong (Ba Gu Nan),PAKUNAM,0.8513888888888889,108.97333333333333,"Jl. Sagatani Pakunam Gg. Pepaya, RT 19/04 Kelurahan Sijangkung",
VIHARA SAK BONG MIAU / SAK KU THAI BONG,石王廟/石古大王(巴古喃),Shi Wang Miao / Shi Gu Da Wang (Ba Gu Nan),PAKUNAM,0.8583333333333333,108.98472222222222,"Jl. Raya Sagatani, Pakunam, RT 10/02 Kelurahan Sijangkung",9
CETIYA NYI BU SIAN SHI,二武仙師壇(新喃),Er Wu Xian Shi Tan (Xin Nan),SINNAM,0.8627777777777778,108.98805555555556,"Jl. Raya Sagatani Gg. Teratai Baru, Sinnam, RT 10/02 Kelurahan Sijangkung",
CETIYA SAK BONG CHIAN SOI,石王千歲壇(新喃),Shi Wang Qian Sui Tan (Xin Nan),SINNAM,0.8616666666666667,108.99027777777778,"Jl. Raya Sagatani, Sinnam, RT 14/03 Kelurahan Sijangkung",
VIHARA AMBAWANA ARAMA,芒林寺(新喃),Mang Lin Si (Xin Nan),SINNAM,0.8608333333333333,108.99555555555555,"Jl. Raya Sagatani Gg. Tower, Sinnam, RT 13/03 Kelurahan Sijangkung",
CETIYA LIUNG SAN THAN,龍山壇(新喃),Long Shan Tan (Xin Nan),SINNAM,0.8647222222222222,108.995,"Jl. Raya Sagatani Gg. Tower, Sinnam, RT 13/03 Kelurahan Sijangkung",
VIHARA MAITREYA KARUNA,光浩堂(新喃),Guang Hao Tang (Xin Nan),SINNAM,0.8730555555555556,108.99138888888889,"Jl. Sagatani Gare, Sinnam, RT 12/03 Kelurahan Sijangkung",
VIHARA DHARMA BUDDHA CIKUNG,濟公活佛堂(新喃),Ji Gong Fa Fo Tang (Xin Nan),SINNAM,0.8727777777777778,108.99055555555556,"Jl. Sagatani Gare, Sinnam, RT 08/02 Kelurahan Sijangkung",8
VIHARA FA CHIN KIUNG,華清宮(新喃),Hua Qing Gong (Xin Nan),SINNAM,0.8686111111111111,108.99638888888889,"Jl. Raya Sagatani Gg. Padi, RT 14/03 Kelurahan Sijangkung",
VIHARA VIMALA CHANDA ARAMA,凈愿寺(新喃),Jing Yuan Si (Xin Nan),SINNAM,0.8780555555555556,108.99083333333333,"Jl. Sagatani Gg. Anugerah No.1, Sinnam, RT 08/02 Kelurahan Sijangkung",43
VIHARA TRIDHARMA BUMI RAYA,大伯公廟(新喃),Da Bo Gong Miao (Xin Nan),SINNAM,0.8763888888888889,108.99083333333333,"Jl. Sagatani Gare, Sinnam, RT 08/02 Kelurahan Sijangkung",
VIHARA SAM BONG MIAU / BONG JA,三王廟/王爺(新喃),San Wang Miao / Wang Ye (Xin Nan),SINNAM,0.8775000000000001,108.99194444444444,"Jl. Sagatani Gare, Sinnam, RT 11/03 Kelurahan Sijangkung",44
CETIYA KIM KONG MIAU / SI THAI KIM KONG,金剛廟/四大金剛(新喃),Jin Gang Miao / Si Da Jin Gang (Xin Nan),SINNAM,0.8783333333333334,108.99055555555556,"Jl. Sagatani Gare, Sinnam, RT 08/02 Kelurahan Sijangkung",
CETIYA FUT MU KIUNG,佛母宮(文輝路),Fo Mu Gong (Wen Hui Lu),JALAN BUN FUI,0.8822222222222222,108.97888888888889,"Jl. Bunfui, RT 06/02 Kelurahan Sijangkung",28
VIHARA CHIANG LIUNG MIAU,青龙庙(文輝路),Qing Long Miao (Wen Hui Lu),JALAN BUN FUI,0.9141666666666667,108.98527777777778,"Jl. Bunfui No.047, RT 06/02 Kelurahan Sijangkung",29
VIHARA SAM CHIN MIAU,三清廟(文輝路),San Qing Miao (Wen Hui Lu),JALAN BUN FUI,0.8697222222222223,108.98111111111112,"Jl. Bunfui Gg. Sentosa, RT 06/02 Kelurahan Sijangkung",30
CETIYA LAI KIM PAK KUNG,賴金伯公廟(文輝路),Lai Jin Bo Gong Miao (Wen Hui Lu),JALAN BUN FUI,0.8822222222222222,108.98138888888889,"Jl. Bunfui, RT 04/02 Kelurahan Sijangkung",
VIHARA FUK TET KIUNG / KAI SI PAK KUNG,福德宮(學老喃),Fu De Gong (Xue Lao Nan),JALAN BARU (HOKLONAM),0.8872222222222222,108.98861111111111,"Jl. Baru, Hoklonam, RT 03/01 Kelurahan Sijangkung",
VIHARA NG FU CIONG KIUN,五虎將軍壇(學老喃,Wu Hu Jiang Jun Tan (Xue Lao Nan),JALAN BARU (HOKLONAM),0.8880555555555555,108.99388888888889,"Jl. Baru Gg. Singkong, Hoklonam, RT 03/01 Kelurahan Sijangkung",
VIHARA CHIANG LIUNG CIN,青龍精廟(學老喃,Qing Long Jing Miao (Xue Lao Nan),JALAN BARU (HOKLONAM),0.8838888888888888,108.99666666666667,"Jl. Baru, Hoklonam, RT 02/01 Kelurahan Sijangkung",
