name_indo,name_hanzi,name_pinyin,neighbourhood,gps_lat,gps_lon,address,ref_no
VIHARA PANNA / THIAN THAI FO THANG,天泰佛堂(盧萬),Tian Tai Fo Tang (Lu Wan),ROBAN,0.9046805555555556,109.00266388888889,"Jl. KS. Tubun No.28, RT 20/09 Kelurahan Roban",
CETIYA LIE KHUI KIUNG,李逵宮(盧萬),Li Kui Gong (Lu Wan),ROBAN,0.8996361111111111,109.00238055555556,"Jl. KS. Tubun Gg.AA, RT 53/11 Kelurahan Roban",
CETIYA KIM SAN PAK KUNG,僅山伯公(盧萬),Jin Shan Bo Gong (Lu Wan),ROBAN,0.89965,109.00106944444444,"Jl. KS. Tubun Gg. Pekong, RT 54/12 Kelurahan Roban",
CETIYA NYIUK TI / KON JIN MIAU,玉帝/觀音廟(盧萬),Yu Di / Guan Yin Miao (Lu Wan),ROBAN,0.8997222222222222,109.00263055555556,"Jl. KS. Tubun, RT 53/11 Kelurahan Roban",
VIHARA CIN LI FUT THONG,晉礼佛堂(盧萬),Jin Li Fo Tang (Lu Wan),ROBAN,0.8985388888888889,109.00303055555555,"Jl. KS. Tubun, RT 52/11 Kelurahan Roban",
CETIYA KUNG KUNG,公公壇(盧萬),Gong Gong Tan (Lu Wan),ROBAN,0.8959138888888889,109.00349722222222,"Jl. KS. Tubun, RT 57/12 Kelurahan Roban",
VIHARA LO MAO SUI KHEU PAK KUNG,羅卯水口伯公(盧萬),Luo Mao Shui Kou Bo Gong (Lu Wan),ROBAN,0.8943055555555556,109.0035,"Jl. KS. Tubun, RT 57/12 Kelurahan Roban",
VIHARA BUDDHAYANA MAHA KARUNA (ATAS),玉皇殿/觀音堂/北帝堂(盧萬),Yu Huang Dian / Guan Yin Tang / Bei Di Tang,ROBAN (上齋堂-Shang Zhai Tang),0.8939666666666667,109.00357777777778,"Jl. KS. Tubun, RT 57/12 Kelurahan Roban",50
VIHARA BUDDHAYANA MAHA KARUNA (BAWAH),觀音堂(盧萬),Guan Yin Tang (Lu Wan),ROBAN (下齋堂-Xia Zhai Tang),0.8933166666666666,109.00423888888889,"Jl. KS. Tubun, RT 57/12 Kelurahan Roban",51
CETIYA KON JIM FUT MU,觀音佛母壇(黄泥路),Guan Yin Fo Mu Tan (Huang Ni Lu),JL. KALIMANTAN,0.9081388888888889,108.996525,"Jl. Kalimantan Gg. Lima, RT 09/03 Kelurahan Roban",
